,Gene_Excluded
100033428,SNORD116-16
100113378,SNORD119
100124412,FAM138E
100126270,FMR1-AS1
100126328,MIR940
100128081,JAZF1-AS1
100128126,STAU2-AS1
100128164,LOC100128164
100128590,SLC8A1-AS1
100129046,LOC100129046
100129066,UNQ6494
100129138,LOC100129138
100129827,MRVI1-AS1
100130302,SUPT20HL1
100130449,PP14571
100130451,LOC100130451
100130539,C10orf142
100130717,CECR5-AS1
100130889,PSORS1C3
100130967,C6orf99
100131117,ZBTB20-AS1
100131626,LOC100131626
100132285,KIR2DS2
100132594,PGAM1P5
100132677,BSN-AS2
100132987,LINC00856
100132994,CXorf49B
100169989,DBIL5P2
10017,BCL2L10
100188954,DNMBP-AS1
100192204,PPIAP30
100192378,ZFHX4-AS1
10021,HCN4
100287226,ZNF729
100287814,LINC00582
100287846,LOC100287846
100288077,WTAPP1
100288974,BMS1P21
100289509,KCNIP2-AS1
100302149,MIR1249
100302691,LINC00184
100313884,MIR548H4
100316868,HOTTIP
100422875,MIR3192
100422879,MIR3124
100422886,MIR3179-2
100422945,MIR4326
100462953,MINOS1P1
100462983,MTRNR2L3
100463488,MTRNR2L10
100500812,MIR3677
100500853,MIR3605
100500904,MIR3942
100505536,ISM1-AS1
100505619,LINC00919
100505967,LINC00645
100505989,LINC01207
100506013,APELA
100506025,ISPD-AS1
100506305,LINC00958
100506321,LOC100506321
100506412,LINC00871
100506555,PVRL3-AS1
100506655,LCMT1-AS2
100506895,LOC100506895
100507055,LRCOL1
100507240,VWA8-AS1
100507346,LOC100507346
100507387,LOC100507387
100507472,LOC100507472
100507674,MARK2P9
100529262,MIA-RAB4B
100533107,RTEL1-TNFRSF6B
100616231,MIR4519
100616371,MIR4746
100616378,MIR4784
100616530,C8orf37-AS1
100652730,LINC00659
100652824,KIAA2012
100750247,HIF1A-AS2
10083,USH1C
100861554,LINC00563
100862662,ALDH1L1-AS2
100873941,OPA1-AS1
100874093,BRWD1-AS1
100874114,CCDC13-AS1
100874353,RPS6KA2-IT1
100996295,DNAH17-AS1
100996325,LOC100996325
100996634,LOC100996634
10117,ENAM
101340251,SNORD124
10141,LINC01587
10158,PDZK1IP1
10232,MSLN
10255,HCG9
10317,B3GALT5
10332,CLEC4M
10345,TRDN
1048,CEACAM5
10568,SLC34A2
10595,ERN2
10686,CLDN16
10761,PLAC1
10803,CCR9
10819,OR7E14P
10877,CFHR4
10887,PROKR1
10913,EDAR
10917,BTNL3
11199,ANXA10
112714,TUBA3E
11281,POU6F2
112885,PHF21B
11330,CTRC
114336,CGB2
1144,CHRND
114824,PNMA5
115019,SLC26A9
115749,C12orf56
116135,LRRC3B
116285,ACSM1
116379,IL22RA2
116437,LINC01257
117166,WFIKKN1
117532,TMC2
118427,OLFM3
118432,RPL29P2
118442,GPR62
118663,BTBD16
120935,CCDC38
121214,SDR9C7
121256,TMEM132D
121273,C12orf54
121275,OR10AD1
121340,SP7
123624,AGBL1
123722,FSD2
124773,C17orf64
124857,WFIKKN2
124912,SPACA3
125965,COX6B2
126353,MISP
126868,MAB21L3
127,ADH4
127534,GJB4
127845,GOLT1A
129446,XIRP2
129684,CNTNAP5
130120,REG3G
131405,TRIM71
131669,UROC1
132228,LSMEM2
1339,COX6A2
135927,C7orf34
1360,CPB1
1370,CPN2
137970,UNC5D
138715,ARID3C
1401,CRP
1417,CRYBB3
143471,PSMA8
143662,MUC15
144448,TSPAN19
144809,FAM216B
145264,SERPINA12
145501,ISM2
145663,NA
145781,GCOM1
1469,CST1
1474,CST6
147429,AQP4-AS1
148,ADRA1A
148014,TTC9B
148145,LINC00906
148696,LOC148696
148738,HFE2
149466,C1orf210
150483,TEKT4
150572,SMYD1
151234,SULT1C2P1
151531,UPP2
153328,SLC25A48
153643,FAM81B
153918,ZC2HC1B
1548,CYP2A6
154860,FEZF1-AS1
155051,CRYGN
157381,LINC00964
157739,TDH
157807,CLVS1
157855,KCNU1
158035,LINC00032
158314,LINC00475
158435,LOC158435
158798,AKAP14
158800,RHOXF1
159989,CCDC67
1600,DAB1
160419,C12orf50
161159,ACTN1-AS1
161635,CSNK1A1P1
161829,EXD1
161931,ADAD2
1620,BRINP1
162998,OR7D2
163404,PLPPR5
163589,TDRD5
164312,LRRN4
166979,CDC20B
169166,SNX31
169522,KCNV2
170393,C10orf91
171019,ADAMTS19
171484,FAM9C
1811,SLC26A3
1812,DRD1
1815,DRD4
1823,DSC1
195814,SDR16C5
1961,EGR4
196913,LINC01599
197,AHSG
197196,LINC00311
1991,ELANE
199699,DAND5
199974,CYP4Z1
200373,CFAP221
200772,LOC200772
202134,FAM153B
203111,ERICH5
203562,TMEM31
2046,EPHA8
204801,NLRP11
2056,EPO
220115,TPTE2P3
220296,HEPACAM
220429,CTAGE10P
221823,PRPS1L1
222659,PXT1
2243,FGA
22917,ZP1
22987,SV2C
22999,RIMS1
2302,FOXJ1
23029,RBM34
2304,FOXE1
2348,FOLR1
23569,PADI4
23581,CASP14
23591,FAM215A
23629,BRD7P3
23783,ANKRD62P1-PARP4P3
253012,HEPACAM2
253650,ANKRD18A
2538,G6PC
254187,TSGA10IP
254956,MORN5
255022,CALHM1
255167,LINC01018
255324,EPGN
2555,GABRA2
255762,PDZD9
256472,TMEM151A
2567,GABRG3
256933,NPB
257062,CATSPERD
25770,C22orf31
25803,SPDEF
259,AMBP
259283,MDS2
26102,DKFZP434A062
26222,DGCR10
26255,PTTG3P
26281,FGF20
2638,GC
26526,TSPAN16
266722,HS6ST3
26811,SNORD55
26814,SNORD36B
26818,SNORD33
26821,SNORA74A
26824,RNU11
2707,GJB3
27160,INGX
27199,OXGR1
27328,PCDH11X
27329,ANGPTL3
2742,GLRA2
2797,GNRH2
280657,SSX6
28316,CDH20
283194,LOC283194
283440,LOC283440
283455,KSR2
283491,OR7E156P
2835,GPR12
283579,C14orf178
283847,CCDC79
283875,LINC00514
284067,C17orf105
284099,C17orf78
284124,FLJ36000
284276,LINC00908
284293,HMSD
2843,GPR20
284434,NWD1
284578,LOC284578
284656,EPHA10
284688,LINC01142
284729,ESPNP
284805,C20orf203
284865,LOC284865
285051,C2orf61
285093,RTP5
285401,LINC00698
285484,LOC285484
285588,EFCAB9
285601,GPR150
285622,NBPF22P
285759,FLJ34503
285800,PRR18
285819,LOC285819
285834,HCG22
285954,INHBA-AS1
286183,NKAIN3
286187,PPP1R42
2862,MLNR
2891,GRIA2
2914,GRM4
2940,GSTA3
29943,PADI1
29949,IL19
3026,HABP2
30813,VSX1
3083,HGFAC
3158,HMGCS2
3169,FOXA1
3171,FOXA3
317719,KLHL10
319101,KRT73
3238,HOXD12
326343,MT1DP
3284,HSD3B2
3352,HTR1D
336,APOA2
3362,HTR6
338069,ST7-OT4
338323,NLRP14
338651,KRTAP5-AS1
339789,LINC00299
339896,GADL1
339906,PRSS42
340198,IFITM4P
340206,TREML3P
340665,CYP26C1
341346,SMCO2
342666,LRRC37A11P
342918,C19orf81
342931,RFPL4A
343578,ARHGAP40
344,APOC2
344657,LRRIQ4
344901,OSTN
344905,ATP13A5
345651,ACTBL2
346689,KLRG2
347148,QRFP
347730,LRRTM1
3483,IGFALS
348807,CFAP100
353139,LCE2A
353174,ZACN
353219,KAAG1
3549,IHH
360155,CYCSP52
360205,PRAC2
3626,INHBC
3642,INSM1
3670,ISL1
373509,USP50
374308,PTCHD3
374387,DKFZp779M0652
3754,KCNF1
3758,KCNJ1
3760,KCNJ3
3763,KCNJ6
376412,RNF126P1
3765,KCNJ9
377047,PRSS45
3773,KCNJ16
3785,KCNQ2
378925,RNF148
3809,KIR2DS4
3817,KLK2
3854,KRT6B
3868,KRT16
387082,SUMO4
387264,KRTAP5-1
388387,LINC00671
388514,CYP4F24P
388523,ZNF728
388533,KRTDAP
388649,C1orf146
388701,C1orf189
388939,C2orf71
389084,C2orf82
389118,CDHR4
389633,FAM90A25P
389690,MROH5
389692,MAFA
389799,CFAP77
389860,PAGE2B
390072,OR52N4
391037,SKINT1L
391257,SUMO1P1
399806,LBX1-AS1
399833,SPRNP1
399881,HNRNPKP3
40,ASIC2
400123,LINC00548
400224,PLEKHD1
400359,C15orf53
400550,FENDRR
400629,TEX19
400794,LOC400794
400804,C1orf140
4009,LMX1A
400932,LINC00898
400941,LINC00487
400952,LINC01121
400958,LOC400958
401089,FOXL2NB
401546,C9orf152
401565,FAM166A
402160,CFAP99
406900,MIR106B
407002,MIR219A1
407738,FAM19A1
4099,MAG
4103,MAGEA4
4107,MAGEA8
414243,LINC00595
4153,MBL2
4160,MC4R
4225,MEP1B
425054,VCX3B
4336,MOBP
440072,LINC00167
440097,DBX2
440224,CXADRP3
440279,UNC13C
440900,LINC01191
440925,LINC01124
441355,MIR2052HG
441459,ANKRD18B
442720,EIF3IP1
442907,MIR339
4498,MT1JP
4593,MUSK
460,ASTN1
4624,MYH6
4626,MYH8
4633,MYL2
