Treatment,Number_CDR3,Habs,H
Pre,40,4.689346567,0.881136777
Pre,31,4.875145809,0.984043728
Pre,22,2.887762249,0.64756285
Pre,26,3.406196174,0.724654794
Pre,5,1.566329399,0.674581354
Pre,55,4.772065231,0.825422646
Pre,6,2.413088436,0.933510036
Pre,27,4.427979697,0.931248046
Pre,39,3.354860541,0.634740821
Pre,45,5.262511648,0.958239697
Pre,55,4.890562744,0.845919124
Pre,9,3.085055103,0.973226528
Pre,41,5.173251797,0.965599922
Pre,8,1.974763166,0.658254389
Pre,37,4.579603264,0.879094781
Pre,6,2.299896391,0.889721375
Pre,33,3.20621767,0.635600152
Pre,24,3.287984489,0.717123529
Pre,9,3.095795255,0.976614669
Pre,4,2,1
Pre,3,0.427365036,0.269637317
Pre,2,1,1
Pre,17,2.5617359,0.626730077
Pre,3,1.5,0.94639463
Pre,2,0.918295834,0.918295834
Pre,7,2.503997527,0.891941916
Pre,2,1,1
Pre,2,1,1
Pre,3,1.584962501,1
Pre,1,0,0
Pre,14,3.533771256,0.928143377
Pre,15,3.572623664,0.914441696
Pre,15,3.748994804,0.959585305
Pre,2,1,1
Pre,1,0,0
Pre,34,4.650410305,0.91409224
Pre,1,0,0
Pre,4,1.664497779,0.83224889
Pre,2,1,1
Pre,2,0.543564443,0.543564443
Pre,7,2.246439345,0.80019784
Pre,1,0,0
Pre,3,1.521928095,0.960229718
Pre,5,1.558938532,0.671398281
Pre,7,2.807354922,1
Pre,1,0,0
Pre,3,1.584962501,1
Pre,1,0,0
Pre,6,2.521640636,0.975503759
Pre,1,0,0
Pre,11,1.871388043,0.54095246
Pre,4,1.789929075,0.894964538
Pre,1,0,0
Pre,12,3.038471395,0.847560161
Pre,1,0,0
Pre,13,3.594465637,0.97136176
Pre,2,1,1
Pre,51,1.163399696,0.205097401
Pre,3,1.309296668,0.826074224
Pre,13,3.46132014,0.935380767
Pre,10,2.484996099,0.748058365
Pre,9,2.931208949,0.92469347
Pre,33,4.594828168,0.910878107
Pre,1,0,0
Pre,1,0,0
Pre,3,1.584962501,1
Pre,2,0.970950594,0.970950594
Pre,28,4.47949683,0.931800731
Pre,11,2.059274655,0.59526387
Pre,4,1.921928095,0.960964047
Pre,17,3.669183893,0.897667829
Pre,22,3.134452809,0.702881685
Pre,6,2.146465799,0.83036632
Pre,1,0,0
Pre,2,1,1
Pre,1,0,0
Pre,2,0.918295834,0.918295834
Pre,18,1.808246545,0.433640064
Pre,6,2.049452073,0.792836288
Pre,20,3.759878242,0.869953909
Pre,20,3.899303337,0.902213839
Pre,7,2.339572262,0.833372454
Pre,9,2.701120784,0.852108735
Pre,5,1.321510189,0.56914346
Pre,12,2.202072973,0.614252722
Pre,4,1.548794941,0.77439747
Pre,1,0,0
Pre,6,2.405639062,0.930628224
Pre,5,1.910124579,0.822645879
Pre,4,1.918295834,0.959147917
Pre,4,1.842370993,0.921185497
Pre,1,0,0
Pre,8,2.387125159,0.795708386
Pre,8,2.921928095,0.973976032
Pre,5,2.321928095,1
Pre,5,1.62668885,0.700576755
Pre,23,3.992778107,0.882662412
Pre,5,2.155639062,0.928383212
Pre,54,5.381098204,0.935048374
Pre,1,0,0
Pre,29,4.626621185,0.952375316
Pre,18,4.001822826,0.959687003
Pre,18,3.612876451,0.866412813
Pre,1,0,0
Pre,12,2.200624248,0.61384861
Pre,3,1.584962501,1
Pre,21,3.336940972,0.759722181
Pre,3,1.5,0.94639463
Pre,35,3.325726636,0.648380412
Pre,2,0.918295834,0.918295834
Pre,11,2.836591668,0.819958878
Pre,2,1,1
Pre,2,1,1
Pre,1,0,0
Pre,1,0,0
Pre,7,1.992469293,0.709731882
Pre,5,2.251629167,0.9697239
Pre,2,1,1
Pre,1,0,0
Pre,7,2.404009757,0.856325553
Pre,2,1,1
Pre,8,2.845350937,0.948450312
Pre,13,1.925605199,0.520371995
Pre,6,2.222191576,0.859661049
Pre,8,2.231270255,0.743756752
Pre,6,2.405639062,0.930628224
Pre,4,1.351227481,0.67561374
Pre,5,0.850688603,0.366371639
Pre,4,1.664497779,0.83224889
Pre,12,2.952903926,0.823691719
Pre,8,1.501748179,0.500582726
Pre,13,1.385316551,0.374365388
Pre,5,1.78067213,0.766893744
Pre,7,2.480682115,0.883636798
Pre,5,2.251629167,0.9697239
Pre,5,2.321928095,1
Pre,2,0.721928095,0.721928095
Pre,3,1.584962501,1
Pre,4,1.142517516,0.571258758
Pre,3,1.5,0.94639463
Pre,17,3.732914564,0.913259572
Pre,23,3.564935992,0.788081611
Pre,8,2.460904932,0.820301644
Pre,11,3.280639062,0.948317361
Pre,2,0.650022422,0.650022422
Pre,1,0,0
