sample	pre.ccf	on.ccf	pre.ccf.pyc	on.ccf.pyc	pre.ccf.abs	on.ccf.abs	pre.ccf.pyc.ci	on.ccf.pyc.ci	pre.is.neo	on.is.neo	gene	clonal	clonal2
Pt10_1_17083776_C_A	Pt10	0.263445759304812	0	0.17361750133	0	0.2	0	0.263445759304812	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_1_17083816_G_A	Pt10	0.25025527247662	0	0.167503963384	0	0.19	0	0.25025527247662	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_1_89449593_G_A	Pt10	1.29274829255916	0	0.558353643761	0	0.84	0	1.29274829255916	0	0	0	0	lost clonal pre2on	negative selection
Pt10_1_115258748_C_A	Pt10	1.01466206995284	0.979548717553096	0.973114081369	0.901065356935	1	1	1.01466206995284	0.979548717553096	0	0	NRAS	clonal both	no selection
Pt10_1_154997000_G_A	Pt10	1.41021213548764	1.2541813945436	0.67521500638	0.651754491075	1	1	1.41021213548764	1.2541813945436	0	0	DCST2	clonal both	no selection
Pt10_1_176525744_A_C	Pt10	1.29495350876404	0	0.569795235843	0	0.76	0	1.29495350876404	0	1	0	0	lost clonal pre2on	negative selection
Pt10_1_179989811_C_A	Pt10	0.81066667390516	0.70732215663284	0.301295151652	0.314328405265	1	1	0.81066667390516	0.70732215663284	1	1	CEP350	subclonal both	no selection
Pt10_1_196879469_G_T	Pt10	1.05258316035744	0.999340570859044	0.959622708214	0.89563102918	1	1	1.05258316035744	0.999340570859044	0	0	CFHR4	clonal both	no selection
Pt10_1_201180717_C_T	Pt10	0.41455453763824	0	0.20774448448	0	0.39	0	0.41455453763824	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_1_207787753_C_T	Pt10	0.45075701522064	0	0.216315409175	0	0.44	0	0.45075701522064	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_1_240371604_A_T	Pt10	1.36732264817576	0	0.633994561435	0	0.86	0	1.36732264817576	0	0	0	0	lost clonal pre2on	negative selection
Pt10_1_245025803_T_A	Pt10	1.05994364855832	0	0.416427191739	0	0.65	0	1.05994364855832	0	0	0	0	lost clonal pre2on	negative selection
Pt10_1_248737167_G_A	Pt10	1.185127079483	0	0.466723908732	0	1	0	1.185127079483	0	0	0	0	lost clonal pre2on	negative selection
Pt10_10_13212971_G_C	Pt10	1.20942780920612	1.190348491698	0.921414825016	0.769266272721	0.92	0.94	1.20942780920612	1.190348491698	1	1	MCM10	clonal both	no selection
Pt10_10_89574198_T_C	Pt10	1.08361326381482	1.04608098179468	0.945190574146	0.828044382691	1	1	1.08361326381482	1.04608098179468	0	0	ATAD1	clonal both	no selection
Pt10_10_123263395_G_A	Pt10	1.18422310033592	1.15938807401916	0.933612645559	0.786611611241	0.92	0.94	1.18422310033592	1.15938807401916	0	0	FGFR2	clonal both	no selection
Pt10_10_129201409_G_C	Pt10	1.0544680841671	1.00020875444991	0.956030765993	0.898789100776	1	1	1.0544680841671	1.00020875444991	0	0	DOCK1	clonal both	no selection
Pt10_11_2424071_T_C	Pt10	0.73155504804072	1.244731998768	0.29751868827	0.638386666504	0.6	1	0.73155504804072	1.244731998768	0	0	TSSC4	increased pre2on	positive selection
Pt10_11_44931294_C_G	Pt10	1.30385044404492	1.2032165559384	0.889497296182	0.627403473505	1	0.86	1.30385044404492	1.2032165559384	0	0	TSPAN18	clonal both	no selection
Pt10_11_44941471_G_T	Pt10	1.1980413660948	1.18382036396396	0.702861642725	0.604650903274	1	0.88	1.1980413660948	1.18382036396396	0	0	TSPAN18	clonal both	no selection
Pt10_11_64014017_C_G	Pt10	0.25184708160154	0	0.170317190115	0	0.18	0	0.25184708160154	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_11_72403802_T_C	Pt10	1.370609748473	0.68483501275248	0.784305833346	0.331617568938	0.85	0.63	1.370609748473	0.68483501275248	0	0	ARAP1	decreased pre2on	negative selection
Pt10_11_115080343_G_T	Pt10	0.268652309213432	0	0.176620609028	0	0.21	0	0.268652309213432	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_11_117789342_T_C	Pt10	0.226600865754728	0	0.143280770665	0	0.1	0	0.226600865754728	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_12_11174302_A_G	Pt10	0.337053261554176	0.40682617034384	0.188188128787	0.235412814439	0.31	0.28	0.337053261554176	0.40682617034384	1	1	TAS2R19	subclonal both	no selection
Pt10_12_11174327_C_T	Pt10	0.379922588220948	0.49159852364396	0.202306729237	0.267737319054	0.35	0.42	0.379922588220948	0.49159852364396	0	0	TAS2R19	subclonal both	no selection
